Service Line Locality,Street Address,Zip Code,State,"Lead Gooseneck, Pigtail or Connector Currently Present",Current Public Side SL Material,Was Public SL Material Ever Previously Lead,Public SL Material Verification Method,Public SL Installation or Replacement Date,Public SL Size,Customer SL Material,Customer SL Material Verification Method,Lead Solder Present,Building Type,POU or POE Treatment Present,Customer SL Installation or Replacement Date,Customer SL Size,SL Category,Note,Location
Poughkeepsie,70  SUNSET AVENUE,12601,NY,No,Unknown but could be lead,Yes,Not Verified,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.92556 41.72545)
Poughkeepsie,162  VIOLET AVENUE,12601,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.91089 41.72609)
Poughkeepsie,40  LINDBERGH PLACE,12603,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Lead including lead-lined galvanized,Not Verified,,,,,,,,POINT (-73.90063 41.70457)
Poughkeepsie,8  RAYMOND AVENUE,12603,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Lead including lead-lined galvanized,Not Verified,,,,,,,,POINT (-73.90119 41.69558)
Poughkeepsie,41  SKYVIEW DRIVE,12603,NY,No,Copper,No,Records,,,Unknown,Not Verified,,,,,,,,POINT (-73.85561 41.71394)
Poughkeepsie,58  TAMARACK HILL DR.,12603,NY,No,Copper,No,Records,,,Unknown,Not Verified,,,,,,,,POINT (-73.85437 41.72455)
Poughkeepsie,10  MC ALPINE DRIVE,12601,NY,No,Unknown but could be lead,No,Not Verified,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.93271 41.64496)
Poughkeepsie,118  VIOLET AVENUE,12601,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.91078 41.72366)
Poughkeepsie,28  MARINO ROAD,12601,NY,No,Unknown but could be lead,No,Not Verified,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.93047 41.64443)
Poughkeepsie,4  PARKVIEW PLACE,12603,NY,No,Copper,No,Records,,,Unknown,Not Verified,,,,,,,,POINT (-73.85693 41.71046)
Poughkeepsie,823  MAIN ST (MCNIFF REALTY),12603,NY,No,Unknown but unlikely lead,No,Not Verified,,,Unknown,Not Verified,,,,,,,,POINT (-73.89804 41.69604)
Poughkeepsie,42  VALLEY VIEW ROAD,12603,NY,No,Unknown but could be lead,No,Not Verified,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.9184 41.66495)
Poughkeepsie,15  MARINO ROAD,12601,NY,No,Unknown but could be lead,No,Not Verified,,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.93032 41.64561)
Poughkeepsie,48  STREIT AVENUE,12603,NY,No,Lead including lead-lined galvanized,Yes,Records,,,Lead including lead-lined galvanized,Not Verified,,,,,,,,POINT (-73.90541 41.69388)
Poughkeepsie,28  HINKLEY PLACE,12601,NY,No,Copper,Yes,Records,TRUE,,Unknown but could be lead,Not Verified,,,,,,,,POINT (-73.9167 41.71797)
